"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","259","Статус 400, если поле info не словарь","tests","Tue Dec 30 12:30:27 GMT 2025","passed","Tue Dec 30 12:30:27 GMT 2025","TestMemesEndpoints","Мемы","",""
"","255","Статус 400, если поле url не строка","tests","Tue Dec 30 12:30:26 GMT 2025","passed","Tue Dec 30 12:30:27 GMT 2025","TestMemesEndpoints","Мемы","",""
"","296","Статус 400 при отправке невалидных кредов","tests","Tue Dec 30 12:30:21 GMT 2025","failed","Tue Dec 30 12:30:22 GMT 2025","TestMemesEndpoints","Мемы","",""
"","497","Удалить мем","tests","Tue Dec 30 12:30:22 GMT 2025","passed","Tue Dec 30 12:30:22 GMT 2025","TestMemes","Мемы","",""
"","251","Статус 400, если поле info не словарь","tests","Tue Dec 30 12:30:28 GMT 2025","passed","Tue Dec 30 12:30:28 GMT 2025","TestMemesEndpoints","Мемы","",""
"","307","Статус 404 при невалидном id мема","tests","Tue Dec 30 12:30:21 GMT 2025","passed","Tue Dec 30 12:30:21 GMT 2025","TestMemesEndpoints","Мемы","",""
"","238","Статус 404 при невалидном id мема","tests","Tue Dec 30 12:30:23 GMT 2025","passed","Tue Dec 30 12:30:23 GMT 2025","TestMemesEndpoints","Мемы","",""
"","238","Статус 400, если поле tags не список","tests","Tue Dec 30 12:30:29 GMT 2025","passed","Tue Dec 30 12:30:29 GMT 2025","TestMemesEndpoints","Мемы","",""
"","225","Статус 400, если поле tags не список","tests","Tue Dec 30 12:30:31 GMT 2025","passed","Tue Dec 30 12:30:31 GMT 2025","TestMemesEndpoints","Мемы","",""
"","1000","Статус 403 при редактировании чужого мема","tests","Tue Dec 30 12:30:29 GMT 2025","passed","Tue Dec 30 12:30:30 GMT 2025","TestMemesEndpoints","Мемы","",""
"","241","Статус 404 при невалидном id мема","tests","Tue Dec 30 12:30:23 GMT 2025","passed","Tue Dec 30 12:30:23 GMT 2025","TestMemesEndpoints","Мемы","",""
"","248","Статус 400 при отправке невалидных кредов","tests","Tue Dec 30 12:30:22 GMT 2025","passed","Tue Dec 30 12:30:22 GMT 2025","TestMemesEndpoints","Мемы","",""
"","253","Статус 404 при невалидном id мема","tests","Tue Dec 30 12:30:25 GMT 2025","passed","Tue Dec 30 12:30:25 GMT 2025","TestMemesEndpoints","Мемы","",""
"","246","Статус 400, если поле text не строка","tests","Tue Dec 30 12:30:23 GMT 2025","passed","Tue Dec 30 12:30:24 GMT 2025","TestMemesEndpoints","Мемы","",""
"","241","Статус 404 при невалидном id мема","tests","Tue Dec 30 12:30:31 GMT 2025","passed","Tue Dec 30 12:30:31 GMT 2025","TestMemesEndpoints","Мемы","",""
"","241","Статус 404 при невалидном id мема","tests","Tue Dec 30 12:30:31 GMT 2025","passed","Tue Dec 30 12:30:31 GMT 2025","TestMemesEndpoints","Мемы","",""
"","221","Статус 400, если поле info не словарь","tests","Tue Dec 30 12:30:31 GMT 2025","passed","Tue Dec 30 12:30:31 GMT 2025","TestMemesEndpoints","Мемы","",""
"","252","Статус 400, если поле text не строка","tests","Tue Dec 30 12:30:30 GMT 2025","passed","Tue Dec 30 12:30:30 GMT 2025","TestMemesEndpoints","Мемы","",""
"","240","Статус 404 при невалидном id мема","tests","Tue Dec 30 12:30:31 GMT 2025","passed","Tue Dec 30 12:30:32 GMT 2025","TestMemesEndpoints","Мемы","",""
"","236","Статус 400, если поле info не словарь","tests","Tue Dec 30 12:30:30 GMT 2025","passed","Tue Dec 30 12:30:31 GMT 2025","TestMemesEndpoints","Мемы","",""
"","243","Статус 400, если поле text не строка","tests","Tue Dec 30 12:30:29 GMT 2025","passed","Tue Dec 30 12:30:30 GMT 2025","TestMemesEndpoints","Мемы","",""
"","219","Статус 400, если поле url не строка","tests","Tue Dec 30 12:30:28 GMT 2025","passed","Tue Dec 30 12:30:28 GMT 2025","TestMemesEndpoints","Мемы","",""
"","361","Статус 400, если поле text не строка","tests","Tue Dec 30 12:30:24 GMT 2025","passed","Tue Dec 30 12:30:24 GMT 2025","TestMemesEndpoints","Мемы","",""
"","226","Статус 400, если поле url не строка","tests","Tue Dec 30 12:30:27 GMT 2025","passed","Tue Dec 30 12:30:27 GMT 2025","TestMemesEndpoints","Мемы","",""
"","998","Повторно отредактированный мем должен отображаться в списке мемов","tests","Tue Dec 30 12:30:28 GMT 2025","passed","Tue Dec 30 12:30:29 GMT 2025","TestMemes","Мемы","",""
"","322","Статус 400 при отправке невалидных кредов","tests","Tue Dec 30 12:30:22 GMT 2025","passed","Tue Dec 30 12:30:23 GMT 2025","TestMemesEndpoints","Мемы","",""
"","220","Статус 400, если поле tags не список","tests","Tue Dec 30 12:30:30 GMT 2025","passed","Tue Dec 30 12:30:30 GMT 2025","TestMemesEndpoints","Мемы","",""
"","240","Статус 400, если поле url не строка","tests","Tue Dec 30 12:30:26 GMT 2025","passed","Tue Dec 30 12:30:26 GMT 2025","TestMemesEndpoints","Мемы","",""
"","251","Статус 404 при невалидном id мема","tests","Tue Dec 30 12:30:23 GMT 2025","passed","Tue Dec 30 12:30:23 GMT 2025","TestMemesEndpoints","Мемы","",""
"","239","Статус 400, если поле url не строка","tests","Tue Dec 30 12:30:30 GMT 2025","passed","Tue Dec 30 12:30:30 GMT 2025","TestMemesEndpoints","Мемы","",""
